"","pval","qval","gene","lineage"
"Brca1",0.987639498409766,0.999838547650833,"Brca1",1
"Qpct",0.0204036192305953,0.0562858461533664,"Qpct",1
"Gm21188",4.6883711924005e-11,3.09463445042937e-10,"Gm21188",1
"Ppfia4",4.76197920714452e-21,5.2329441836753e-20,"Ppfia4",1
"Gpr132",0.076200558668151,0.184504984668646,"Gpr132",1
"Sirpb1c",0.000547673963627685,0.00199516926640322,"Sirpb1c",1
"Ifrd1",0.0116488561060062,0.0337159366309877,"Ifrd1",1
"Glipr1",0.740719437481108,0.999838547650833,"Glipr1",1
"Pou2f2",4.09504513598975e-06,1.84046972404034e-05,"Pou2f2",1
"Tmem88",0.672200020667147,0.999838547650833,"Tmem88",1
"Batf3",7.26354325577153e-13,5.36054852824467e-12,"Batf3",1
"Tob2",0.243844330416794,0.50070704397699,"Tob2",1
"Atp8b4",0.420444698558099,0.759611018171814,"Atp8b4",1
"Gbp3",1.44130954263496e-23,1.90901926176816e-22,"Gbp3",1
"Txnip",1.80845543041795e-14,1.50079288831365e-13,"Txnip",1
"Lap3",2.2664254916218e-10,1.4209564210795e-09,"Lap3",1
"Hk3",8.41140386979365e-15,7.03883169020389e-14,"Hk3",1
"Cdca7",0.724789011028713,0.999838547650833,"Cdca7",1
"Net1",0.39930819355167,0.732675584498477,"Net1",1
"Hpse",0.0191828131295164,0.0532855920264344,"Hpse",1
"Clec4n",0.0275630347445083,0.0739947241463309,"Clec4n",1
"Eno1",0.0682368186819345,0.167247104612585,"Eno1",1
"Scimp",4.4862814670536e-10,2.76930954756395e-09,"Scimp",1
"Cycs",4.92585050789672e-06,2.20395995879048e-05,"Cycs",1
"Sbno2",2.28033665518482e-06,1.04843064606199e-05,"Sbno2",1
"Kif15",0.864082133015115,0.999838547650833,"Kif15",1
"Gm6377",0.000230995109603064,0.000886737464887002,"Gm6377",1
"Ankrd37",0.794683990777999,0.999838547650833,"Ankrd37",1
"Mafb",1.74294746230836e-21,1.9694321608004e-20,"Mafb",1
"Acp5",3.45064237228411e-15,2.96192478307649e-14,"Acp5",1
"Prdx4",0.000789344048918669,0.0028241289764532,"Prdx4",1
"Tanc2",0.0533354430345715,0.13367278956033,"Tanc2",1
"Cebpb",2.28946023254076e-05,9.68059294943241e-05,"Cebpb",1
"Alox5ap",3.51190752100378e-53,1.06421440030418e-51,"Alox5ap",1
"Rnf128",0.509076981633457,0.860425351641946,"Rnf128",1
"Mtss1",0.0549561887924549,0.137218948295768,"Mtss1",1
"2810474O19Rik",0.10490987869017,0.243693098002719,"2810474O19Rik",1
